Identification phase: 
Tokens output: 

Begin	BEGIN
WRITE	WRITE
a	identifier
;	operator
SET	SET
a	identifier
=	operator
3	integar_constant
;	operator
IF	IF
x	identifier
==	operator
2	integar_constant
+	operator
3	integar_constant
*	operator
5	integar_constant
THEN	THEN
read	READ
x	identifier
;	operator
ELSE	ELSE
write	WRITE
y	identifier
;	operator
ENDIF	ENDIF
;	operator
WHILE	WHILE
x	identifier
==	operator
1	integar_constant
DO	DO
declare	DECLARE
STRING	STRING
str	identifier
;	operator
ENDWHILE	ENDWHILE
;	operator
CALL	CALL
Findsum	identifier
(	Lbracket
a	identifier
,	operator
x	identifier
)	Rbracket
;	operator
end	END
